dates,results,locations,game_nums,opponent,date_diff,rest,game_arenas,travel_miles
2019-03-28,Win,Home,76,LAC,2.0,1.0,"(43.0451, 87.9174)",0
2019-03-31,Loss,Away,77,ATL,3.0,2.0,"(33.7573, 84.3963)",668
2019-04-01,Win,Away,78,BRK,1.0,0.0,"(40.6826, 73.9754)",746
2019-04-04,Win,Away,79,PHI,3.0,2.0,"(39.9012, 75.172)",83
2019-04-06,Loss,Home,80,BRK,2.0,1.0,"(43.0451, 87.9174)",695
2019-04-07,Win,Home,81,ATL,1.0,0.0,"(43.0451, 87.9174)",0
2019-04-10,Loss,Home,82,OKC,3.0,2.0,"(43.0451, 87.9174)",0
2019-10-24,Win,Away,1,HOU,5.0,4.0,"(29.7508, 95.3621)",1005
2019-10-26,Loss,Home,2,MIA,2.0,1.0,"(43.0451, 87.9174)",1005
2019-10-28,Win,Home,3,CLE,2.0,1.0,"(43.0451, 87.9174)",0
2019-10-30,Loss,Away,4,BOS,2.0,1.0,"(42.3662, 71.0621)",857
2019-11-01,Win,Away,5,ORL,2.0,1.0,"(28.5392, 81.3839)",1115
2019-11-02,Win,Home,6,TOR,1.0,0.0,"(43.0451, 87.9174)",1064
2019-11-04,Win,Away,7,MIN,2.0,1.0,"(44.9795, 93.2761)",298
2019-11-06,Win,Away,8,LAC,2.0,1.0,"(34.043, 118.2673)",1524
2019-11-08,Loss,Away,9,UTA,2.0,1.0,"(40.7683, 111.9011)",580
2019-11-10,Win,Away,10,OKC,2.0,1.0,"(35.4634, 97.5151)",863
2019-11-14,Win,Home,11,CHI,4.0,3.0,"(43.0451, 87.9174)",732
2019-11-16,Win,Away,12,IND,2.0,1.0,"(39.764, 86.1555)",244
2019-11-18,Win,Away,13,CHI,2.0,1.0,"(41.8807, 87.6742)",166
2019-11-20,Win,Away,14,ATL,2.0,1.0,"(33.7573, 84.3963)",588
2019-11-21,Win,Home,15,POR,1.0,0.0,"(43.0451, 87.9174)",668
2019-11-23,Win,Home,16,DET,2.0,1.0,"(43.0451, 87.9174)",0
2019-11-25,Win,Home,17,UTA,2.0,1.0,"(43.0451, 87.9174)",0
2019-11-27,Win,Home,18,ATL,2.0,1.0,"(43.0451, 87.9174)",0
2019-11-29,Win,Away,19,CLE,2.0,1.0,"(41.4966, 81.6881)",336
2019-11-30,Win,Home,20,CHO,1.0,0.0,"(43.0451, 87.9174)",336
2019-12-02,Win,Home,21,NYK,2.0,1.0,"(43.0451, 87.9174)",0
2019-12-04,Win,Away,22,DET,2.0,1.0,"(42.3411, 83.0553)",252
2019-12-06,Win,Home,23,LAC,2.0,1.0,"(43.0451, 87.9174)",252
2019-12-09,Win,Home,24,ORL,3.0,2.0,"(43.0451, 87.9174)",0
2019-12-11,Win,Home,25,NOP,2.0,1.0,"(43.0451, 87.9174)",0
2019-12-13,Win,Away,26,MEM,2.0,1.0,"(35.1381, 90.0506)",557
2019-12-14,Win,Home,27,CLE,1.0,0.0,"(43.0451, 87.9174)",557
2019-12-16,Loss,Home,28,DAL,2.0,1.0,"(43.0451, 87.9174)",0
2019-12-19,Win,Home,29,LAL,3.0,2.0,"(43.0451, 87.9174)",0
2019-12-21,Win,Away,30,NYK,2.0,1.0,"(40.7505, 73.9934)",734
