dates,results,locations,game_nums,opponent,date_diff,rest,opp_date_diff,opp_rest,rest_diff,abbrv
2016-01-06,Loss,Home,33,CLE,3,2,2.0,1.0,1.0,WAS
2016-01-08,Loss,Home,34,TOR,2,1,2.0,1.0,0.0,WAS
2016-01-09,Win,Away,35,ORL,1,0,2.0,1.0,-1.0,WAS
2016-01-11,Win,Away,36,CHI,2,1,2.0,1.0,0.0,WAS
2016-01-13,Win,Home,37,MIL,2,1,1.0,0.0,1.0,WAS
2016-01-15,Win,Away,38,IND,2,1,2.0,1.0,0.0,WAS
2016-01-16,Loss,Home,39,BOS,1,0,1.0,0.0,0.0,WAS
2016-01-18,Loss,Home,40,POR,2,1,2.0,1.0,0.0,WAS
2016-01-20,Win,Home,41,MIA,2,1,2.0,1.0,0.0,WAS
2016-01-25,Loss,Home,42,BOS,5,4,2.0,1.0,3.0,WAS
2016-01-26,Loss,Away,43,TOR,1,0,2.0,1.0,-1.0,WAS
2016-01-28,Loss,Home,44,DEN,2,1,2.0,1.0,0.0,WAS
2016-01-30,Win,Away,45,HOU,2,1,2.0,1.0,0.0,WAS
2016-02-01,Loss,Away,46,OKC,2,1,2.0,1.0,0.0,WAS
2016-02-03,Loss,Home,47,GSW,2,1,3.0,2.0,-1.0,WAS
2016-02-05,Win,Home,48,PHI,2,1,3.0,2.0,-1.0,WAS
2016-02-06,Loss,Away,49,CHO,1,0,3.0,2.0,-2.0,WAS
2016-02-09,Win,Away,50,NYK,3,2,2.0,1.0,1.0,WAS
2016-02-11,Loss,Away,51,MIL,2,1,1.0,0.0,1.0,WAS
2016-02-18,Win,Home,52,UTA,7,6,1.0,0.0,6.0,WAS
2016-02-19,Win,Home,53,DET,1,0,2.0,1.0,-1.0,WAS
2016-02-20,Loss,Away,54,MIA,1,0,10.0,9.0,-9.0,WAS
2016-02-23,Win,Home,55,NOP,3,2,2.0,1.0,1.0,WAS
2016-02-24,Loss,Away,56,CHI,1,0,3.0,2.0,-2.0,WAS
2016-02-26,Win,Away,57,PHI,2,1,1.0,0.0,1.0,WAS
2016-02-28,Win,Home,58,CLE,2,1,2.0,1.0,0.0,WAS
2016-02-29,Win,Home,59,PHI,1,0,2.0,1.0,-1.0,WAS
2016-03-02,Win,Away,60,MIN,2,1,1.0,0.0,1.0,WAS
2016-03-04,Loss,Away,61,CLE,2,1,1.0,0.0,1.0,WAS
2016-03-05,Loss,Home,62,IND,1,0,2.0,1.0,-1.0,WAS
2016-03-08,Loss,Away,63,POR,3,2,2.0,1.0,1.0,WAS
2016-03-11,Loss,Away,64,UTA,3,2,1.0,0.0,2.0,WAS
2016-03-12,Loss,Away,65,DEN,1,0,2.0,1.0,-1.0,WAS
2016-03-14,Win,Home,66,DET,2,1,1.0,0.0,1.0,WAS
2016-03-16,Win,Home,67,CHI,2,1,1.0,0.0,1.0,WAS
2016-03-17,Win,Away,68,PHI,1,0,2.0,1.0,-1.0,WAS
2016-03-19,Win,Home,69,NYK,2,1,3.0,2.0,-1.0,WAS
2016-03-21,Win,Away,70,ATL,2,1,2.0,1.0,0.0,WAS
2016-03-23,Loss,Home,71,ATL,2,1,2.0,1.0,0.0,WAS
2016-03-25,Loss,Home,72,MIN,2,1,2.0,1.0,0.0,WAS
2016-03-27,Win,Away,73,LAL,2,1,2.0,1.0,0.0,WAS
2016-03-29,Loss,Away,74,GSW,2,1,2.0,1.0,0.0,WAS
2016-03-30,Loss,Away,75,SAC,1,0,2.0,1.0,-1.0,WAS
2016-04-01,Win,Away,76,PHO,2,1,2.0,1.0,0.0,WAS
2016-04-03,Loss,Away,77,LAC,2,1,2.0,1.0,0.0,WAS
2016-04-06,Win,Home,78,BRK,3,2,3.0,2.0,0.0,WAS
2016-04-08,Loss,Away,79,DET,2,1,1.0,0.0,1.0,WAS
2016-04-10,Win,Home,80,CHO,2,1,2.0,1.0,0.0,WAS
2016-04-11,Win,Away,81,BRK,1,0,1.0,0.0,0.0,WAS
2016-04-13,Win,Home,82,ATL,2,1,2.0,1.0,0.0,WAS
2015-10-28,Loss,Away,1,DET,10,9,10.0,9.0,0.0,UTA
2015-10-30,Win,Away,2,PHI,2,1,2.0,1.0,0.0,UTA
2015-10-31,Win,Away,3,IND,1,0,2.0,1.0,-1.0,UTA
2015-11-04,Loss,Home,4,POR,4,3,2.0,1.0,2.0,UTA
2015-11-05,Win,Away,5,DEN,1,0,2.0,1.0,-1.0,UTA
2015-11-07,Win,Home,6,MEM,2,1,2.0,1.0,0.0,UTA
2015-11-10,Loss,Away,7,CLE,3,2,2.0,1.0,1.0,UTA
2015-11-12,Loss,Away,8,MIA,2,1,2.0,1.0,0.0,UTA
2015-11-13,Loss,Away,9,ORL,1,0,2.0,1.0,-1.0,UTA
2015-11-15,Win,Away,10,ATL,2,1,2.0,1.0,0.0,UTA
2015-11-18,Win,Home,11,TOR,3,2,2.0,1.0,1.0,UTA
2015-11-20,Loss,Away,12,DAL,2,1,2.0,1.0,0.0,UTA
2015-11-23,Loss,Home,13,OKC,3,2,2.0,1.0,1.0,UTA
2015-11-25,Win,Away,14,LAC,2,1,2.0,1.0,0.0,UTA
2015-11-28,Win,Home,15,NOP,3,2,3.0,2.0,0.0,UTA
